Project: BI Code Management    Server: fsafood.visualstudio.com\fsafood    Query: BIDevSprint9-min    List type: Flat    ,,,,,,
ID,State,Closed Date,Effort,Business Value,,
919,Done,2/20/2018 4:02 PM,120,9,,
5575,Done,2/12/2018 10:48 AM,3,7,,
5586,Done,2/21/2018 9:35 AM,3,7,,
5588,Done,2/12/2018 10:49 AM,5,7,,
5589,Done,2/20/2018 4:28 PM,3,7,,
5596,Done,2/20/2018 4:28 PM,3,7,,
5663,Done,2/21/2018 9:29 AM,3,7,,
5889,Done,2/21/2018 9:15 AM,3,,,
6691,Done,2/9/2018 8:50 AM,,,,
6713,Committed,,,,,
6947,Done,2/21/2018 9:22 AM,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
